name	P1	P2	P3	P4	P5	P6
Amycolatopsis sp. DSM 110486	749	2100	502	1596	606	546
Amycolatopsis sp. EV170708-02-1	0	0	322	0	0	0
Amycolatopsis sp. FBCC-B4732	247	540	1575	2898	3095	727
Amycolatopsis sp. FDAARGOS 1241	2686	8160	766	10863	2021	471
Amycolatopsis sp. FU40	256	693	4283	3060	533	318
Amycolatopsis sp. HUAS 11-8	1583	1669	827	903	1335	802
Amycolatopsis sp. Hca4	390	855	3876	1800	5699	344
Amycolatopsis sp. QT-25	0	0	0	0	167	0
Amycolatopsis sp. TNS106	238	274	0	0	0	232
Amycolatopsis sp. WQ 127309	408	687	830	1127	1196	450
Amycolatopsis sp. YIM 10	439	524	267	442	455	280
Amycolatopsis thermalba	622	561	1241	226	502	619
Anaerocolumna cellulosilytica	47	236	0	0	0	0
Anaerocolumna chitinilytica	37	93	25	0	0	0
Anaerocolumna sedimenticola	0	0	38	0	0	0
Anaerocolumna sp. AGMB13020	201	78	49	85	0	0
Anaerolinea thermophila	0	0	48	91	44	22
Anaeromyxobacter dehalogenans	805	1283	10443	17397	24444	4851
Anaeromyxobacter oryzae	2309	1595	11595	28265	40018	7624
Anaeromyxobacter paludicola	906	1042	8126	17204	21516	3074
Anaeromyxobacter sp. Fw109-5	1723	1426	9538	22630	34516	5829
Anaeromyxobacter sp. K	0	0	8954	11135	12086	3204
Anatilimnocola aggregata	87	77	101	146	96	118
Ancylobacter novellus	1746	1502	1245	1324	1027	1000
Ancylobacter polymorphus	2885	0	1968	2306	0	1573
Ancylobacter pratisalsi	414	332	525	558	492	438
Ancylobacter sp. SL191	526	0	366	645	642	563
Ancylobacter sp. TS-1	972	646	1003	875	990	592
Ancylobacter sp. WKF20	448	0	523	0	0	476
Aneurinibacillus soli	1855	1852	1665	643	779	0
Aneurinibacillus sp. B1	2165	0	2192	518	852	793
Aquabacter sp. L1I39	533	258	282	399	381	0
Aquabacterium olei	0	0	332	628	0	0
Aquabacterium sp. J223	1042	855	826	657	841	264
Aquibium microcysteis	751	871	413	948	1094	462
Aquibium oceanicum	588	470	421	736	1244	0
Aquihabitans sp. G128	1452	1682	1690	1739	1061	895
Aquincola tertiaricarbonis	1491	1593	2792	2180	4117	1408
Aquisalinus flavus	0	0	0	0	0	126
Aquisphaera giovannonii	7160	6893	11439	7633	8991	6711
Arachnia propionica	0	0	47	0	0	0
Archangium gephyra	399	622	3573	1119	1004	1318
Archangium violaceum	3135	3383	19285	5168	5379	2736
Aromatoleum aromaticum	788	1174	527	1601	2018	0
Aromatoleum bremense	0	995	786	1113	1396	0
Aromatoleum petrolei	259	0	0	0	0	0
Arsenicicoccus sp. oral taxon 190	0	409	322	0	0	0
Arthrobacter agilis	0	0	100	0	0	0
Arthrobacter antioxidans	0	0	195	253	0	0
Arthrobacter crystallopoietes	0	349	183	0	0	0
Arthrobacter dokdonellae	0	298	0	0	0	0
Arthrobacter oryzae	0	0	0	374	0	0
Arthrobacter sp. 24S4-2	385	0	347	0	0	0
Arthrobacter sp. CJ23	0	0	0	0	0	545
Arthrobacter sp. NEB 688	804	426	1086	709	1508	0
Arthrobacter sp. NicSoilC5	0	0	498	0	0	0
Arthrobacter sp. PGP41	0	0	522	0	0	0
Arthrobacter sp. PM3	0	0	0	127	0	0
Arthrobacter sp. U41	0	421	0	0	0	0
Arthrobacter sp. Y-9	0	0	0	431	0	0
Arthrobacter sp. YA7-1	0	424	0	0	0	0
Arthrobacter woluwensis	0	0	0	291	0	0
Asticcacaulis excentricus	0	0	0	0	0	120
Asticcacaulis sp. AND118	0	0	0	0	187	0
Aurantimonas sp. HBX-1	750	876	535	1212	987	421
Auraticoccus monumenti	0	0	119	160	155	0
Aureimonas altamirensis	0	0	0	323	457	0
Aureimonas mangrovi	337	0	334	0	0	0
Aureimonas populi	331	377	382	0	431	0
Aureimonas sp. AU20	0	0	217	0	0	322
Aureimonas sp. SA4125	0	455	492	454	461	0
Azoarcus olearius	0	0	0	0	0	205
Azoarcus sp. CIB	0	411	363	0	722	0
Azoarcus sp. DD4	1786	0	1291	2202	2611	0
Azoarcus sp. DN11	0	434	0	0	551	258
Azoarcus sp. KH32C	364	356	422	976	715	142
Azorhizobium caulinodans	430	892	1139	1231	1176	466
Azospira restricta	1352	1733	1759	2225	1728	776
Azospirillum argentinense	0	790	569	568	651	575
Azospirillum brasilense	1463	901	1386	890	993	692
Azospirillum lipoferum	402	0	333	0	0	0
Azospirillum oryzae	358	0	299	0	0	0
Azospirillum sp. B510	0	0	321	0	343	0
Azospirillum sp. TSH100	0	646	276	584	0	0
Azospirillum thermophilum	411	609	1195	871	799	551
Azospirillum thiophilum	550	0	280	0	442	0
Azotobacter chroococcum	0	0	0	0	0	211
Azotobacter vinelandii	0	324	0	351	0	0
Bacillus altitudinis	5659	4110	22738	5266	0	0
Bacillus arachidis	54683	10324	37228	86401	28313	18761
Bacillus cereus	234095	387107	116197	98107	50996	58987
Bacillus cytotoxicus	3050	1749	978	1923	0	1299
Bacillus luti	4107	2826	0	0	0	0
Bacillus mycoides	67360	54799	7789	17006	26958	15093
Bacillus nitratireducens	6297	2651	0	3383	0	0
Bacillus paranthracis	15616	0	0	0	0	0
Bacillus pseudomycoides	18054	12667	7931	13104	10559	6329
Bacillus pumilus	0	0	640	0	0	0
Bacillus safensis	2271	0	3206	0	0	0
Bacillus sp. 1NLA3E	0	0	512	1271	0	744
Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038	791	0	3337	1984	0	0
Bacillus sp. DX3.1	6887	4287	3020	4600	4845	5164
Bacillus sp. FJAT-18017	0	0	275	0	0	0
Bacillus sp. N447-1	0	0	0	20870	0	0
Bacillus sp. S3	3912	2026	15733	7892	0	0
Bacillus thuringiensis	56530	50279	29273	35784	0	15317
Bacillus toyonensis	13281	8055	2833	7721	9119	0
Bacillus tropicus	20393	0	25054	13740	0	0
Bacillus wiedmannii	5517	0	0	0	0	0
Baekduia alba	5879	8215	24367	6745	6077	2005
Baekduia soli	2915	3960	13185	3242	3725	1360
Barrientosiimonas endolithica	0	0	1097	0	963	0
Bdellovibrio bacteriovorus	0	51	0	0	0	0
Beijerinckia indica	303	160	172	1190	0	107
Beutenbergia cavernae	155	197	100	0	289	163
Bifidobacterium longum	1138	0	0	0	0	0
Bifidobacterium scardovii	0	0	46	0	0	0
Blastochloris tepida	3956	4192	3320	4253	5334	3684
Blastochloris viridis	1586	1561	1563	2526	1920	1212
Blastococcus saxobsidens	838	647	1388	405	506	454
Blastococcus sp. PRF04-17	1192	769	1959	752	908	324
Blastopirellula sp. J2-11	0	0	0	0	33	0
Bordetella bronchialis	265	0	186	291	547	0
Bordetella bronchiseptica	3175	0	2226	0	0	0
Bordetella flabilis	0	0	0	372	0	188
Bordetella genomosp. 13	0	0	0	4098	0	0
Bordetella genomosp. 8	208	278	0	0	279	0
Bordetella genomosp. 9	0	0	712	0	0	0
Bordetella petrii	0	0	4435	0	0	0
Bordetella pseudohinzii	0	0	0	1386	0	0
Bordetella sp. H567	224	329	189	302	0	182
Bordetella sp. N	279	0	0	259	2685	0
Bosea sp. 685	583	889	346	645	295	0
Bosea sp. ANAM02	429	820	0	693	641	404
Bosea sp. AS-1	454	857	662	1048	0	585
Bosea sp. F3-2	1502	2171	609	1601	1006	1679
Bosea sp. NBC_00550	673	798	0	704	622	255
Bosea sp. PAMC 26642	303	406	371	577	299	0
Bosea sp. RAC05	779	367	498	876	656	419
Bosea sp. REN20	0	322	343	727	623	0
Bosea sp. Tri-49	511	3146	663	500	613	371
Bosea vaviloviae	0	500	234	508	369	443
Bosea vestrisii	509	2459	0	456	463	607
Botrimarina mediterranea	114	63	137	104	121	60
Brachybacterium faecium	0	0	90	0	0	0
Brachybacterium ginsengisoli	0	0	0	0	144	0
Brachybacterium halotolerans	0	0	0	250	207	0
Brachybacterium huguangmaarense	740	0	0	0	0	0
Brachybacterium saurashtrense	187	0	106	0	143	0
Brachybacterium sp. GU-2	0	0	741	0	0	0
Brachybacterium sp. NBEC-018	0	0	0	0	2380	0
Bradymonas sediminis	55	0	0	0	122	0
Bradyrhizobium amphicarpaeae	548	412	745	601	0	289
Bradyrhizobium arachidis	40670	42396	30747	38041	32740	31493
Bradyrhizobium australafricanum	2658	4822	2246	1830	2632	1364
Bradyrhizobium barranii	33742	43429	20920	29399	31610	28251
Bradyrhizobium betae	5548	2594	5129	4654	2193	2197
Bradyrhizobium brasilense	6218	10371	2410	7193	7615	4969
Bradyrhizobium canariense	17746	19738	9993	13768	15523	12676
Bradyrhizobium commune	2035	1876	1792	1986	1323	1267
Bradyrhizobium cosmicum	1002	1201	784	1044	822	765
Bradyrhizobium daqingense	537	630	1662	1046	736	413
Bradyrhizobium diazoefficiens	42769	42607	36103	36745	29402	28732
Bradyrhizobium elkanii	35801	44661	20885	25422	27025	27594
Bradyrhizobium erythrophlei	36717	35985	14215	23159	25968	28007
Bradyrhizobium genosp. L	2392	3103	2458	2587	2047	1525
Bradyrhizobium guangdongense	1448	2258	2854	1993	1925	1380
Bradyrhizobium guangxiense	1023	1093	2798	2339	1900	1019
Bradyrhizobium guangzhouense	2757	2173	16091	5970	2056	1188
Bradyrhizobium icense	4958	4563	1963	2476	3496	3400
Bradyrhizobium japonicum	29960	25656	11614	21977	18816	16062
Bradyrhizobium lablabi	37355	39203	24204	29200	31010	28402
Bradyrhizobium oligotrophicum	1683	1506	3510	2251	1666	1047
Bradyrhizobium ottawaense	23412	18451	3103	22551	15664	20804
Bradyrhizobium pachyrhizi	2270	12081	1959	2244	1653	1492
Bradyrhizobium paxllaeri	5864	6006	3258	4349	5096	4269
Bradyrhizobium prioritasuperba	2033	1829	1209	1806	2041	1180
Bradyrhizobium quebecense	5712	6388	3703	4562	4856	4446
Bradyrhizobium roseus	1282	1452	1616	2357	1738	993
Bradyrhizobium sediminis	7760	6643	5347	6178	6397	4708
Bradyrhizobium septentrionale	3636	3554	1727	2260	1945	2713
Bradyrhizobium sp.	6998	10621	7417	8023	5953	10270
Bradyrhizobium sp. 1(2017)	1003	1463	1381	1441	1376	1226
Bradyrhizobium sp. 170	4069	4705	2443	3907	3547	3283
Bradyrhizobium sp. 172	0	0	0	0	3246	0
Bradyrhizobium sp. 186	5596	6065	3412	5383	4438	6222
Bradyrhizobium sp. 187	1457	0	0	0	2333	0
Bradyrhizobium sp. 191	2402	1724	1179	1368	1346	928
