	P1	P2	P3	P4	P5	P6
P1	0.0	0.2157769451756314	0.4712411898133947	0.29902874593797607	0.3220839413877504	0.35074291650192674
P2	0.2157769451756314	0.0	0.5172583547966619	0.3342541662551346	0.3579845474751185	0.37296872114277524
P3	0.4712411898133947	0.5172583547966619	0.0	0.4051901803653217	0.451812069955941	0.5028499135593997
P4	0.29902874593797607	0.3342541662551346	0.4051901803653217	0.0	0.26051297137786783	0.34606067968754145
P5	0.3220839413877504	0.3579845474751185	0.451812069955941	0.26051297137786783	0.0	0.35386938018408043
P6	0.35074291650192674	0.37296872114277524	0.5028499135593997	0.34606067968754145	0.35386938018408043	0.0
