sample	name	taxonomy_id	taxonomy_lvl	new_est_reads	fraction_total_reads	taxonomy_chain
P1	Bradyrhizobium sp. WD16	1521768	S	3033	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. WD16
P1	Bradyrhizobium sp. CCBAU 53421	1325120	S	2825	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53421
P1	Bradyrhizobium genosp. L	83637	S	2392	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium genosp. L
P1	Bradyrhizobium sp. CCBAU 53340	1325112	S	3183	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53340
P1	Bradyrhizobium sp. 195	2782662	S	2164	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 195
P1	Bradyrhizobium sp. ORS 285	115808	S	1899	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. ORS 285
P1	Bradyrhizobium sp. 62B	2898442	S	3751	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 62B
P1	Bradyrhizobium sp. CB1015	2976822	S	2325	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB1015
P1	Bradyrhizobium sp. SK17	2057741	S	5243	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. SK17
P1	Bradyrhizobium sp. CB3035	2976824	S	2009	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB3035
P1	Bradyrhizobium sp. ORS 278	114615	S	1543	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. ORS 278
P1	Bradyrhizobium sp. 191	2782659	S	2402	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 191
P1	Bradyrhizobium sp. 41S5	1404443	S	1788	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 41S5
P1	Bradyrhizobium sp.	376	S	6998	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp.
P1	Bradyrhizobium sp. 1(2017)	1404888	S	1003	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 1(2017)
P1	Bradyrhizobium sp. CCBAU 53351	1325114	S	2548	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53351
P1	Bradyrhizobium sp. CCGE-LA001	1223566	S	869	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCGE-LA001
P1	Bradyrhizobium sp. NDS-1	3080014	S	730	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. NDS-1
P1	Bradyrhizobium sp. CCBAU 51765	1325102	S	1081	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 51765
P1	Bradyrhizobium sp. I71	2590772	S	1039	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. I71
P1	Bradyrhizobium sp. NC92	55395	S	1917	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. NC92
P1	Bradyrhizobium sp. CB1024	2976823	S	565	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CB1024
P1	Bradyrhizobium sp. LCT2	2493093	S	2857	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. LCT2
P1	Bradyrhizobium sp. SEMIA	2597515	S	6325	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. SEMIA
P1	Bradyrhizobium sp. BEA-2-5	3080015	S	1159	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. BEA-2-5
P1	Bradyrhizobium sp. 192	2782660	S	1692	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 192
P1	Bradyrhizobium sp. CCBAU 53338	1325111	S	1760	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 53338
P1	Bradyrhizobium sp. BWC-3-1	3080012	S	1367	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. BWC-3-1
P1	Bradyrhizobium sp. 4	2782678	S	826	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 4
P1	Bradyrhizobium sp. 187	2782655	S	1457	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. 187
P1	Bradyrhizobium erythrophlei	1437360	S	36717	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium erythrophlei
P1	Bradyrhizobium arachidis	858423	S	40670	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium arachidis
P1	Bradyrhizobium lablabi	722472	S	37355	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium lablabi
P1	Bradyrhizobium diazoefficiens	1355477	S	42769	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium diazoefficiens
P1	Bradyrhizobium japonicum	375	S	29960	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium japonicum
P1	Bradyrhizobium sediminis	2840469	S	7760	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium sediminis
P1	Bradyrhizobium paxllaeri	190148	S	5864	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium paxllaeri
P1	Bradyrhizobium barranii	2992140	S	33742	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium barranii
P1	Bradyrhizobium elkanii	29448	S	35801	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium elkanii
P1	Bradyrhizobium icense	1274631	S	4958	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium icense
P1	Bradyrhizobium canariense	255045	S	17746	0,00000	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium canariense
