	Riqueza	Shannon	Simpson	Equidade
P1	1284.0	5.792774276024874	0.9893957386931889	0.8093026472927738
P2	1241.0	5.6917798684389656	0.9820013439548603	0.7989951307505887
P3	1486.0	5.597967176534013	0.985647701530536	0.7664413109471101
P4	1354.0	6.012488522143839	0.99413133587964	0.833814990758594
P5	1260.0	6.056445576139364	0.995041655528871	0.848376300635042
P6	1056.0	5.376883832529232	0.9760157716718042	0.7722918424393155
