	Richness	Shannon	Simpson	Evenness
P1	11	2.0423669659460963	0.829832966665305	0.8517331799743828
P2	13	2.0587879431824687	0.8233646654798864	0.8026622191168707
P3	15	1.9221682621995755	0.8171149228518605	0.7097978691152879
P4	11	2.213199677438995	0.870289253210558	0.9229759541817546
P5	16	2.015096686517383	0.7936445348271841	0.7267924991376027
P6	9	0.7441176849918645	0.3089342887931872	0.33866255305317366
